displayName,synonyms,compartment,stID
"""H+ [cytoplasm]""","[""H+"", ""phys-ent-participant40014"", ""hydron"", ""phys-ent-participant79980"", ""phys-ent-participant92545"", ""phys-ent-participant95641"", ""phys-ent-participant85683"", ""phys-ent-participant60121"", ""phys-ent-participant87783"", ""phys-ent-participant10825"", ""phys-ent-participant81216"", ""phys-ent-participant80943"", ""phys-ent-participant37499"", ""phys-ent-participant10903"", ""phys-ent-participant86314"", ""phys-ent-participant85954"", ""phys-ent-participant93429"", ""phys-ent-participant98175"", ""phys-ent-participant78141"", ""phys-ent-participant10979"", ""phys-ent-participant86594"", ""phys-ent-participant86029"", ""phys-ent-participant79534"", ""phys-ent-participant78557"", ""phys-ent-participant81949"", ""phys-ent-participant11026"", ""phys-ent-participant98215"", ""phys-ent-participant92345"", ""phys-ent-participant95669"", ""phys-ent-participant94316"", ""phys-ent-participant95655"", ""phys-ent-participant83338"", ""phys-ent-participant10624"", ""phys-ent-participant5774"", ""phys-ent-participant96019"", ""phys-ent-participant5466"", ""phys-ent-participant92716"", ""phys-ent-participant86064"", ""phys-ent-participant10788"", ""phys-ent-participant92629"", ""phys-ent-participant98320"", ""phys-ent-participant83639"", ""phys-ent-participant37208"", ""phys-ent-participant79586"", ""phys-ent-participant57538"", ""phys-ent-participant78101"", ""phys-ent-participant82789"", ""phys-ent-participant94414"", ""phys-ent-participant80083"", ""phys-ent-participant60195"", ""phys-ent-participant63615"", ""phys-ent-participant94945"", ""phys-ent-participant94528"", ""phys-ent-participant14916"", ""phys-ent-participant33450"", ""phys-ent-participant10888"", ""phys-ent-participant85728"", ""phys-ent-participant82753"", ""phys-ent-participant90438"", ""phys-ent-participant10856"", ""phys-ent-participant93582"", ""phys-ent-participant85716"", ""phys-ent-participant86020"", ""phys-ent-participant90591"", ""phys-ent-participant79971"", ""phys-ent-participant10872"", ""phys-ent-participant97877"", ""phys-ent-participant94260"", ""phys-ent-participant96416"", ""phys-ent-participant83554"", ""phys-ent-participant79843"", ""phys-ent-participant80202"", ""phys-ent-participant9736"", ""phys-ent-participant98108"", ""phys-ent-participant95545"", ""phys-ent-participant63584"", ""phys-ent-participant85773"", ""phys-ent-participant87790"", ""phys-ent-participant96965"", ""phys-ent-participant10808"", ""phys-ent-participant95558"", ""phys-ent-participant94604"", ""phys-ent-participant98350"", ""phys-ent-participant10934"", ""phys-ent-participant83767"", ""phys-ent-participant95623"", ""phys-ent-participant87771"", ""phys-ent-participant79909"", ""phys-ent-participant93398"", ""phys-ent-participant10949"", ""phys-ent-participant90901"", ""phys-ent-participant96298"", ""phys-ent-participant98766"", ""phys-ent-participant79992"", ""phys-ent-participant80920"", ""phys-ent-participant98014"", ""phys-ent-participant83335"", ""phys-ent-participant86549"", ""phys-ent-participant85790"", ""phys-ent-participant7338"", ""phys-ent-participant90639"", ""phys-ent-participant83670"", ""phys-ent-participant93589"", ""phys-ent-participant79857"", ""phys-ent-participant79821"", ""phys-ent-participant83074"", ""phys-ent-participant97277"", ""phys-ent-participant97959"", ""phys-ent-participant5737"", ""phys-ent-participant86008"", ""phys-ent-participant80799"", ""phys-ent-participant83398"", ""phys-ent-participant87722"", ""phys-ent-participant5625"", ""phys-ent-participant96239"", ""phys-ent-participant14018"", ""phys-ent-participant75402"", ""phys-ent-participant90858"", ""phys-ent-participant10840"", ""phys-ent-participant86605"", ""phys-ent-participant93770"", ""phys-ent-participant10964"", ""phys-ent-participant95715"", ""phys-ent-participant90431"", ""phys-ent-participant96422"", ""phys-ent-participant11010"", ""phys-ent-participant14154"", ""phys-ent-participant83711"", ""phys-ent-participant94421"", ""phys-ent-participant10994"", ""phys-ent-participant80178"", ""phys-ent-participant97860"", ""phys-ent-participant93535"", ""phys-ent-participant10919"", ""phys-ent-participant80546"", ""phys-ent-participant80800"", ""phys-ent-participant93512"", ""phys-ent-participant83652"", ""phys-ent-participant60176"", ""phys-ent-participant59981""]","[""cytoplasm""]","""R-ALL-1132304"""
"""H+ [cytosol]""","[""H+"", ""proton"", ""hydron""]","[""cytosol""]","""R-ALL-70106"""
"""H+ [early endosome lumen]""","[""H+"", ""hydron""]","[""early endosome lumen""]","""R-ALL-425978"""
"""H+ [early endosome]""","[""H+"", ""proton"", ""hydron""]","[""early endosome""]","""R-ALL-2429673"""
"""H+ [endocytic vesicle lumen]""","[""H+"", ""hydron""]","[""endocytic vesicle lumen""]","""R-ALL-5228597"""
"""H+ [endolysosome lumen]""","[""H+"", ""hydron""]","[""endolysosome lumen""]","""R-ALL-9631150"""
"""H+ [endoplasmic reticulum lumen]""","[""H+"", ""hydron""]","[""endoplasmic reticulum lumen""]","""R-ALL-156540"""
"""H+ [endoplasmic reticulum-Golgi intermediate compartment]""","[""H+""]","[""endoplasmic reticulum-Golgi intermediate compartment""]","""R-ALL-9683057"""
"""H+ [endosome lumen]""","[""H+"", ""hydron""]","[""endosome lumen""]","""R-ALL-74722"""
"""H+ [extracellular region]""","[""H+"", ""hydron""]","[""extracellular region""]","""R-ALL-351626"""
"""H+ [late endosome lumen]""","[""H+"", ""hydron""]","[""late endosome lumen""]","""R-ALL-425999"""
"""H+ [lysosomal lumen]""","[""H+"", ""hydron""]","[""lysosomal lumen""]","""R-ALL-428040"""
"""H+ [melanosome lumen]""","[""H+"", ""proton"", ""hydron""]","[""melanosome lumen""]","""R-ALL-5668577"""
"""H+ [mitochondrial inner membrane]""","[""H+"", ""hydron""]","[""mitochondrial inner membrane""]","""R-ALL-1614597"""
"""H+ [mitochondrial intermembrane space]""","[""H+"", ""hydron""]","[""mitochondrial intermembrane space""]","""R-ALL-163953"""
"""H+ [mitochondrial matrix]""","[""H+"", ""hydron""]","[""mitochondrial matrix""]","""R-ALL-113529"""
"""H+ [nuclear envelope]""","[""H+"", ""hydron""]","[""nuclear envelope""]","""R-ALL-194688"""
"""H+ [nucleoplasm]""","[""H+"", ""proton"", ""hydron""]","[""nucleoplasm""]","""R-ALL-9668967"""
"""H+ [peroxisomal matrix]""","[""H+"", ""hydron""]","[""peroxisomal matrix""]","""R-ALL-193465"""
"""H+ [phagocytic vesicle lumen]""","[""H+"", ""hydron""]","[""phagocytic vesicle lumen""]","""R-ALL-1470067"""
"""H+ [phagolysosome]""","[""H+"", ""proton"", ""hydron""]","[""phagolysosome""]","""R-ALL-2000349"""
"""H+ [platelet dense tubular network lumen]""","[""H+"", ""proton"", ""hydron""]","[""platelet dense tubular network lumen""]","""R-ALL-427899"""
"""H+ [sperm flagellum]""","[""H+"", ""proton"", ""hydron""]","[""sperm flagellum""]","""R-ALL-2872447"""
"""H+ [synaptic vesicle lumen]""","[""H+"", ""hydron""]","[""synaptic vesicle lumen""]","""R-ALL-5244410"""
"""H+ [synaptic vesicle]""","[""H+"", ""hydron""]","[""synaptic vesicle""]","""R-ALL-428548"""
"""H2O [Golgi lumen]""","[""H2O"", ""water""]","[""Golgi lumen""]","""R-ALL-2022884"""
